id,order,quality,duration,date,species
AccGen00001,Accipitriformes,b,2.703,1992-04-25,Accipiter gentilis
AccGen00002,Accipitriformes,b,1.922,2008-03-20,Accipiter gentilis
AccGen00003,Accipitriformes,b,0.545,1999-04-10,Accipiter gentilis
AccGen00004,Accipitriformes,b,0.779,1999-06-13,Accipiter gentilis
AccGen00005,Accipitriformes,b,0.893,1964-08-23,Accipiter gentilis
AccNis00001,Accipitriformes,b,0.863,2009-12-29,Accipiter nisus
AccNis00002,Accipitriformes,b,0.692,1961-06-28,Accipiter nisus
AccNis00003,Accipitriformes,b,2.803,1961-06-28,Accipiter nisus
AccNis00004,Accipitriformes,b,3.016,1961-06-28,Accipiter nisus
AccNis00005,Accipitriformes,b,2.25,1961-06-28,Accipiter nisus
AcrAru00001,Passeriformes,u,3.353,1990-05-24,Acrocephalus arundinaceus
AcrAru00002,Passeriformes,u,3.705,1990-05-24,Acrocephalus arundinaceus
AcrAru00003,Passeriformes,u,3.772,1990-05-24,Acrocephalus arundinaceus
AcrAru00004,Passeriformes,u,2.665,1993-05-12,Acrocephalus arundinaceus
AcrAru00005,Passeriformes,u,3.326,1993-05-12,Acrocephalus arundinaceus
AcrAru00006,Passeriformes,u,5.507,2007-06-06,Acrocephalus arundinaceus
AcrAru00007,Passeriformes,u,4.62,2008-04-27,Acrocephalus arundinaceus
AcrAru00008,Passeriformes,u,10.311,2008-04-27,Acrocephalus arundinaceus
AcrAru00009,Passeriformes,u,10.996,2008-04-27,Acrocephalus arundinaceus
AcrAru00010,Passeriformes,u,6.776,2008-04-27,Acrocephalus arundinaceus
AcrAru00011,Passeriformes,u,4.721,2008-05-03,Acrocephalus arundinaceus
AcrAru00012,Passeriformes,u,3.594,2008-05-03,Acrocephalus arundinaceus
AcrAru00013,Passeriformes,u,3.976,2008-05-03,Acrocephalus arundinaceus
AcrAru00014,Passeriformes,u,5.61,2008-06-10,Acrocephalus arundinaceus
AcrAru00015,Passeriformes,u,6.229,2008-06-10,Acrocephalus arundinaceus
AcrAru00016,Passeriformes,u,4.551,2008-06-10,Acrocephalus arundinaceus
AcrAru00017,Passeriformes,u,4.916,2009-05-03,Acrocephalus arundinaceus
AcrAru00018,Passeriformes,u,6.122,2009-05-03,Acrocephalus arundinaceus
AcrAru00019,Passeriformes,u,3.999,2009-05-03,Acrocephalus arundinaceus
AcrAru00020,Passeriformes,u,6.151,2009-05-03,Acrocephalus arundinaceus
AcrAru00021,Passeriformes,u,4.84,2009-05-03,Acrocephalus arundinaceus
AcrAru00022,Passeriformes,u,4.167,2009-05-03,Acrocephalus arundinaceus
AcrAru00023,Passeriformes,u,4.843,1994-06-03,Acrocephalus arundinaceus
AcrAru00024,Passeriformes,u,7.417,1994-06-03,Acrocephalus arundinaceus
AcrAru00025,Passeriformes,u,1.738,1961-07-09,Acrocephalus arundinaceus
AcrAru00026,Passeriformes,u,0.802,1961-07-09,Acrocephalus arundinaceus
AcrAru00027,Passeriformes,u,1.109,1961-07-09,Acrocephalus arundinaceus
AcrAru00028,Passeriformes,u,3.304,1962-05-18,Acrocephalus arundinaceus
